     6>LINK : fatal error LNK1104: cannot open file 'dTnsConfigFile.lib' [D:\a\TohoSpec\TohoSpec\SRC\Hook\HOOK.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(572,43): error C3867: 'CPifMessage502::SetItemSTRLxS13_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(573,43): error C3867: 'CPifMessage502::SetItemSTRLxS14_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(574,43): error C3867: 'CPifMessage502::SetItemSTRLxS15_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(575,43): error C3867: 'CPifMessage502::SetItemSTRLxS16_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(576,43): error C3867: 'CPifMessage502::SetItemSTRLxS17_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(577,43): error C3867: 'CPifMessage502::SetItemSTRLxS18_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(578,43): error C3867: 'CPifMessage502::SetItemSTRLxS19_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(579,43): error C3867: 'CPifMessage502::SetItemSTRLxS20_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(583,44): error C3867: 'CPifMessage502::SetItemSTRLxS1_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(584,44): error C3867: 'CPifMessage502::SetItemSTRLxS2_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(585,44): error C3867: 'CPifMessage502::SetItemSTRLxS3_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(586,44): error C3867: 'CPifMessage502::SetItemSTRLxS4_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(587,44): error C3867: 'CPifMessage502::SetItemSTRLxS5_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(588,44): error C3867: 'CPifMessage502::SetItemSTRLxS6_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(589,44): error C3867: 'CPifMessage502::SetItemSTRLxS7_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(590,44): error C3867: 'CPifMessage502::SetItemSTRLxS8_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(591,44): error C3867: 'CPifMessage502::SetItemSTRLxS9_StartX': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
